MUNIC_RES,ANO,POPULACAO
2308401,1992,29378
2308500,1992,40597
2308609,1992,15444
2308708,1992,59252
2308807,1992,6231
2308906,1992,14603
2309003,1992,11845
2309102,1992,7885
2309201,1992,11510
2309300,1992,28684
2309409,1992,26481
2309458,1992,20256
2309508,1992,22131
2309607,1992,32298
2309706,1992,37865
2309805,1992,10087
2309904,1992,5036
2310001,1992,8001
2310100,1992,10196
2310209,1992,21267
2310258,1992,20090
2310308,1992,30149
2310407,1992,10522
2310506,1992,38998
2310605,1992,6475
2310704,1992,32310
2310803,1992,14815
2310852,1992,12606
2310902,1992,13004
2310951,1992,9391
2311009,1992,11122
2311108,1992,15107
2311207,1992,8202
2311231,1992,5754
2311264,1992,17251
2311306,1992,61634
2311355,1992,15710
2311405,1992,59478
2311504,1992,13879
2311603,1992,22900
2311702,1992,17341
2311801,1992,47357
2311900,1992,15362
2311959,1992,12788
2312007,1992,22361
2312106,1992,15321
2312205,1992,40315
2312304,1992,37359
2312403,1992,29754
2312502,1992,7958
2312601,1992,10769
2312700,1992,26490
2312809,1992,5165
2312908,1992,129027
2313005,1992,16186
2313104,1992,25275
2313203,1992,26316
2313252,1992,10241
2313302,1992,51636
2313351,1992,11850
2313401,1992,44764
2313500,1992,36957
2313559,1992,9982
2313609,1992,23494
2313708,1992,7855
2313757,1992,15415
2313807,1992,13606
2313906,1992,10161
2313955,1992,13553
2314003,1992,31403
2314102,1992,41287
2400109,1992,10948
2400208,1992,44393
2400307,1992,10919
2400406,1992,2330
2400505,1992,14688
2400604,1992,5682
2400703,1992,8382
2400802,1992,14642
2400901,1992,7509
2401008,1992,31437
2401107,1992,21635
2401206,1992,11191
2401305,1992,12389
2401404,1992,7445
2401453,1992,15559
2401503,1992,3621
2401602,1992,4422
2401701,1992,7440
2401800,1992,8182
2401909,1992,2611
2402006,1992,51651
2402105,1992,9359
2402204,1992,23344
2402303,1992,20349
2402402,1992,5629
2402501,1992,10524
2402600,1992,52956
2402709,1992,10605
2402808,1992,5896
